N,temp_ar_C,umid_ar_pct,temp_solo_C,umid_solo_pct
1,25.3,-1.0,-1.0,100.0
2,25.3,-1.0,-1.0,100.0
3,25.4,-1.0,-1.0,0.0
4,25.4,-1.0,-1.0,81.9
5,26.8,-1.0,-1.0,85.2
6,28.7,-1.0,-1.0,85.4
7,29.4,-1.0,-1.0,89.7
8,29.4,-1.0,-1.0,89.2
9,29.3,-1.0,-1.0,89.4
10,29.1,-1.0,-1.0,88.1
11,28.7,-1.0,-1.0,90.5
12,28.6,-1.0,-1.0,88.9
13,28.4,-1.0,-1.0,88.0
14,28.3,-1.0,-1.0,88.1
15,28.1,-1.0,-1.0,87.8
16,27.9,-1.0,-1.0,87.4
17,27.6,-1.0,-1.0,84.9
18,27.6,-1.0,-1.0,84.8
19,27.3,-1.0,-1.0,88.3
20,27.2,-1.0,-1.0,89.8
21,27.1,-1.0,-1.0,89.8
22,27.1,-1.0,-1.0,90.9
23,27.0,-1.0,-1.0,91.4
24,26.9,-1.0,-1.0,91.1
25,26.9,-1.0,-1.0,91.4
26,26.8,-1.0,-1.0,91.9
27,26.8,-1.0,-1.0,91.7
28,26.6,-1.0,-1.0,91.1
29,26.6,-1.0,-1.0,91.7
30,26.6,-1.0,-1.0,92.4
31,26.4,-1.0,-1.0,92.4
32,26.3,-1.0,-1.0,92.4
33,26.3,-1.0,-1.0,92.5
34,26.3,-1.0,-1.0,92.1
35,26.0,-1.0,-1.0,92.0
36,25.9,-1.0,-1.0,92.0
37,25.9,-1.0,-1.0,91.9
38,25.9,-1.0,-1.0,91.9
39,25.9,-1.0,-1.0,92.3
40,25.8,-1.0,-1.0,92.1
41,25.8,-1.0,-1.0,92.3
42,25.8,-1.0,-1.0,92.4
43,25.8,-1.0,-1.0,92.3
44,25.8,-1.0,-1.0,91.5
45,25.8,-1.0,-1.0,95.9
46,25.8,-1.0,-1.0,96.5
47,25.8,-1.0,-1.0,96.9
48,25.8,-1.0,-1.0,98.2
49,25.8,-1.0,-1.0,97.9
50,27.6,-1.0,-1.0,99.1
51,29.3,-1.0,-1.0,94.6
52,30.4,-1.0,-1.0,97.3
53,30.9,-1.0,-1.0,92.1
54,30.8,-1.0,-1.0,91.0
55,30.6,-1.0,-1.0,89.3
56,30.4,-1.0,-1.0,91.9
57,29.7,-1.0,-1.0,93.5
58,27.1,-1.0,-1.0,98.4
59,27.1,-1.0,-1.0,99.4
60,27.0,-1.0,-1.0,97.9
61,26.9,-1.0,-1.0,99.3
62,26.8,-1.0,-1.0,100.0
63,26.7,-1.0,-1.0,100.0
64,26.6,-1.0,-1.0,99.0
65,26.5,-1.0,-1.0,99.6
66,26.4,-1.0,-1.0,99.1
67,26.4,-1.0,-1.0,100.0
68,26.3,-1.0,-1.0,100.0
69,26.3,-1.0,-1.0,100.0
70,26.3,-1.0,-1.0,100.0
71,26.2,-1.0,-1.0,100.0
72,26.2,-1.0,-1.0,100.0
73,26.1,-1.0,-1.0,100.0
74,26.1,-1.0,-1.0,100.0
75,26.1,-1.0,-1.0,100.0
76,26.1,-1.0,-1.0,99.6
77,26.0,-1.0,-1.0,100.0
78,26.6,-1.0,-1.0,40.0
79,26.6,-1.0,-1.0,100.0
80,26.6,-1.0,-1.0,100.0
81,26.6,-1.0,-1.0,0.0
82,26.5,-1.0,-1.0,0.0
83,26.5,-1.0,-1.0,0.0
84,26.3,-1.0,-1.0,0.0
85,26.3,-1.0,-1.0,0.0
86,26.3,-1.0,-1.0,0.0
87,26.3,-1.0,-1.0,100.0
88,26.3,-1.0,-1.0,96.3
89,26.3,-1.0,-1.0,0.0
