Linha,Coluna,Temperatura_C
0,0,23.02
0,1,23.28
0,2,23.47
0,3,23.06
0,4,22.59
0,5,23.25
0,6,22.66
0,7,22.90
0,8,22.68
0,9,23.08
0,10,22.62
0,11,22.97
0,12,22.45
0,13,22.77
0,14,22.52
0,15,22.94
0,16,22.76
0,17,23.59
0,18,23.65
0,19,24.46
0,20,24.01
0,21,25.27
0,22,25.58
0,23,26.52
0,24,26.36
0,25,27.00
0,26,27.40
0,27,27.99
0,28,27.32
0,29,27.02
0,30,26.73
0,31,23.53
1,0,23.28
1,1,24.11
1,2,23.32
1,3,23.11
1,4,22.64
1,5,22.99
1,6,23.21
1,7,22.96
1,8,22.53
1,9,22.92
1,10,23.01
1,11,23.01
1,12,22.94
1,13,23.02
1,14,22.93
1,15,22.57
1,16,22.34
1,17,23.53
1,18,23.66
1,19,24.26
1,20,23.92
1,21,24.75
1,22,25.39
1,23,26.17
1,24,26.42
1,25,27.19
1,26,27.59
1,27,27.16
1,28,27.36
1,29,27.96
1,30,27.71
1,31,23.23
2,0,23.26
2,1,23.26
2,2,23.12
2,3,23.14
2,4,22.73
2,5,23.24
2,6,23.02
2,7,23.40
2,8,22.87
2,9,23.14
2,10,22.80
2,11,23.10
2,12,22.82
2,13,22.90
2,14,23.07
2,15,22.82
2,16,22.44
2,17,23.16
2,18,23.46
2,19,24.22
2,20,23.87
2,21,24.52
2,22,24.41
2,23,26.17
2,24,26.13
2,25,27.26
2,26,27.53
2,27,28.06
2,28,26.84
2,29,27.91
2,30,27.81
2,31,23.16
3,0,23.60
3,1,23.25
3,2,23.28
3,3,23.05
3,4,22.84
3,5,23.38
3,6,23.27
3,7,23.01
3,8,23.22
3,9,23.07
3,10,23.02
3,11,22.94
3,12,22.88
3,13,22.84
3,14,22.79
3,15,22.71
3,16,22.80
3,17,23.00
3,18,23.58
3,19,23.96
3,20,24.30
3,21,24.03
3,22,24.10
3,23,25.52
3,24,26.10
3,25,27.10
3,26,26.72
3,27,27.36
3,28,27.38
3,29,27.80
3,30,27.27
3,31,23.93
4,0,23.66
4,1,23.63
4,2,23.19
4,3,23.18
4,4,22.90
4,5,22.81
4,6,23.04
4,7,23.13
4,8,22.88
4,9,23.05
4,10,22.96
4,11,23.04
4,12,22.92
4,13,23.14
4,14,23.00
4,15,22.96
4,16,22.68
4,17,22.77
4,18,23.21
4,19,24.02
4,20,23.44
4,21,23.76
4,22,23.94
4,23,24.61
4,24,25.66
4,25,26.09
4,26,27.04
4,27,27.08
4,28,27.07
4,29,27.69
4,30,27.48
4,31,23.21
5,0,23.42
5,1,23.65
5,2,23.29
5,3,22.87
5,4,22.96
5,5,22.99
5,6,22.86
5,7,22.95
5,8,23.28
5,9,23.02
5,10,23.05
5,11,23.02
5,12,22.92
5,13,22.98
5,14,22.99
5,15,22.77
5,16,22.88
5,17,22.99
5,18,23.06
5,19,24.00
5,20,23.59
5,21,23.73
5,22,23.61
5,23,24.30
5,24,24.99
5,25,26.40
5,26,26.39
5,27,26.78
5,28,27.25
5,29,27.82
5,30,27.57
5,31,23.79
6,0,23.27
6,1,23.69
6,2,23.23
6,3,23.02
6,4,22.96
6,5,23.08
6,6,23.24
6,7,23.58
6,8,23.41
6,9,23.25
6,10,22.73
6,11,23.23
6,12,22.84
6,13,23.05
6,14,22.85
6,15,23.12
6,16,22.67
6,17,22.96
6,18,22.61
6,19,23.36
6,20,23.41
6,21,23.38
6,22,23.43
6,23,23.96
6,24,24.21
6,25,26.16
6,26,26.37
6,27,26.75
6,28,27.04
6,29,27.61
6,30,27.52
6,31,23.76
7,0,23.40
7,1,23.27
7,2,23.25
7,3,22.98
7,4,23.02
7,5,22.96
7,6,23.17
7,7,23.21
7,8,23.22
7,9,23.12
7,10,23.15
7,11,22.77
7,12,22.84
7,13,23.22
7,14,23.20
7,15,22.76
7,16,23.03
7,17,22.78
7,18,22.92
7,19,23.15
7,20,23.40
7,21,23.09
7,22,23.56
7,23,23.56
7,24,24.13
7,25,26.15
7,26,26.78
7,27,26.50
7,28,26.97
7,29,27.36
7,30,27.71
7,31,25.66
8,0,24.56
8,1,23.30
8,2,22.86
8,3,23.02
8,4,22.73
8,5,23.08
