Linha,Coluna,Temperatura_C
0,0,22.53
0,1,24.08
0,2,23.89
0,3,23.82
0,4,23.18
0,5,23.50
0,6,23.40
0,7,22.89
0,8,22.82
0,9,23.23
0,10,22.91
0,11,23.00
0,12,22.62
0,13,22.93
0,14,22.82
0,15,22.98
0,16,23.06
0,17,23.61
0,18,23.95
0,19,24.35
0,20,24.03
0,21,24.98
0,22,25.14
0,23,26.19
0,24,25.87
0,25,26.40
0,26,26.44
0,27,26.73
0,28,26.40
0,29,26.58
0,30,26.74
0,31,23.91
1,0,24.16
1,1,23.73
1,2,23.34
1,3,23.18
1,4,23.04
1,5,23.09
1,6,23.32
1,7,22.54
1,8,22.80
1,9,22.81
1,10,22.76
1,11,23.44
1,12,22.98
1,13,23.19
1,14,22.97
1,15,22.75
1,16,23.00
1,17,23.82
1,18,23.81
1,19,23.80
1,20,24.20
1,21,24.48
1,22,25.38
1,23,25.72
1,24,25.79
1,25,26.78
1,26,26.82
1,27,26.67
1,28,26.46
1,29,27.20
1,30,27.23
1,31,23.84
2,0,23.28
2,1,23.31
2,2,23.71
2,3,23.40
2,4,23.31
2,5,23.22
2,6,23.30
2,7,23.43
2,8,22.67
2,9,23.07
2,10,22.98
2,11,23.29
2,12,23.02
2,13,22.98
2,14,23.05
2,15,23.13
2,16,22.99
2,17,23.46
2,18,23.65
2,19,24.16
2,20,24.07
2,21,24.55
2,22,24.70
2,23,25.66
2,24,26.00
2,25,26.48
2,26,26.27
2,27,26.84
2,28,26.57
2,29,26.76
2,30,27.00
2,31,23.97
3,0,23.61
3,1,23.31
3,2,23.35
3,3,23.17
3,4,23.11
3,5,23.52
3,6,23.27
3,7,23.31
3,8,23.15
3,9,23.25
3,10,22.96
3,11,23.15
3,12,23.30
3,13,23.04
3,14,23.09
3,15,23.04
3,16,22.89
3,17,23.09
3,18,23.54
3,19,23.92
3,20,24.13
3,21,24.20
3,22,24.39
3,23,25.68
3,24,25.56
3,25,26.35
3,26,26.53
3,27,26.67
3,28,27.12
3,29,27.07
3,30,27.45
3,31,24.15
4,0,23.55
4,1,23.55
4,2,23.45
4,3,23.31
4,4,22.91
4,5,23.23
4,6,23.34
4,7,23.20
4,8,22.97
4,9,23.02
4,10,23.06
4,11,23.15
4,12,23.15
4,13,22.84
4,14,22.92
4,15,23.18
4,16,22.81
4,17,23.09
4,18,23.21
4,19,24.12
4,20,23.87
4,21,24.06
4,22,24.13
4,23,24.90
4,24,25.21
4,25,25.96
4,26,25.94
4,27,26.59
4,28,26.26
4,29,27.21
4,30,27.16
4,31,23.62
5,0,23.82
5,1,23.42
5,2,23.39
5,3,23.16
5,4,23.10
5,5,23.28
5,6,23.15
5,7,23.03
5,8,23.36
5,9,22.90
5,10,23.14
5,11,23.14
5,12,23.13
5,13,23.00
5,14,23.01
5,15,22.90
5,16,23.00
5,17,22.90
5,18,23.27
5,19,24.01
5,20,23.58
5,21,23.70
5,22,23.91
5,23,24.37
5,24,25.03
5,25,26.02
5,26,26.52
5,27,26.46
5,28,26.46
5,29,26.68
5,30,26.90
5,31,23.69
6,0,23.20
6,1,23.20
6,2,23.51
6,3,23.57
6,4,23.40
6,5,23.14
6,6,23.20
6,7,23.68
6,8,23.53
6,9,23.26
6,10,23.06
6,11,23.07
6,12,23.19
6,13,23.28
6,14,23.19
6,15,22.97
6,16,22.91
6,17,23.09
6,18,23.15
6,19,23.78
6,20,23.44
6,21,23.37
6,22,23.53
6,23,23.92
6,24,24.53
6,25,25.80
6,26,26.14
6,27,26.32
6,28,26.60
6,29,27.37
6,30,26.92
6,31,23.34
