Linha,Coluna,19-11-25 22:50,19-11-25 23:50
0,0,31.60,25.12
0,1,28.05,25.54
0,2,32.40,27.20
0,3,29.36,26.55
0,4,32.94,27.04
0,5,29.68,26.69
0,6,32.72,27.21
0,7,30.05,26.78
0,8,31.73,26.87
0,9,30.46,26.07
0,10,30.89,26.93
0,11,31.04,26.38
0,12,30.59,26.26
0,13,31.77,25.94
0,14,30.48,26.52
0,15,30.74,26.26
0,16,30.74,26.83
0,17,29.82,26.76
0,18,30.22,26.35
0,19,29.87,26.48
0,20,28.02,26.95
0,21,29.82,26.91
0,22,27.66,27.14
0,23,29.64,26.65
0,24,27.66,27.47
0,25,29.24,27.35
0,26,27.09,27.18
0,27,28.57,26.87
0,28,26.98,27.62
0,29,27.48,26.96
0,30,27.05,26.18
0,31,26.36,24.48
1,0,27.86,25.69
1,1,31.66,25.74
1,2,29.20,27.05
1,3,32.58,26.89
1,4,29.57,27.23
1,5,32.64,26.84
1,6,30.06,26.93
1,7,32.33,27.30
1,8,30.36,26.60
1,9,31.29,26.37
1,10,31.30,26.12
1,11,30.84,26.36
1,12,31.80,26.28
1,13,30.31,26.23
1,14,31.78,26.32
1,15,30.81,26.34
1,16,30.24,26.62
1,17,30.56,26.39
1,18,29.95,26.36
1,19,29.73,26.42
1,20,29.82,26.52
1,21,27.55,26.94
1,22,30.16,27.13
1,23,27.49,27.47
1,24,29.20,27.40
1,25,27.60,27.36
1,26,28.53,26.70
1,27,27.37,27.51
1,28,27.68,26.93
1,29,26.91,26.57
1,30,27.59,26.23
1,31,26.28,26.79
2,0,32.67,26.48
2,1,28.54,26.48
2,2,32.80,27.10
2,3,29.18,26.95
2,4,32.28,27.29
2,5,29.58,27.33
2,6,32.25,27.43
2,7,30.35,26.34
2,8,31.99,26.48
2,9,30.85,26.01
2,10,31.21,26.61
2,11,31.79,26.00
2,12,30.40,26.41
2,13,32.11,26.02
2,14,30.64,26.82
2,15,32.00,26.34
2,16,30.75,26.39
2,17,30.58,25.96
2,18,29.97,26.03
2,19,30.43,25.57
2,20,28.35,26.11
2,21,30.28,26.40
2,22,26.94,27.65
2,23,30.30,26.92
2,24,27.29,27.60
2,25,29.35,27.42
2,26,27.54,27.83
2,27,28.79,26.79
2,28,27.09,27.62
2,29,27.63,26.81
2,30,27.53,26.60
2,31,27.64,26.79
3,0,28.96,26.25
3,1,32.26,27.08
3,2,29.38,26.51
3,3,32.51,26.98
3,4,29.46,27.17
3,5,31.91,27.26
3,6,30.53,26.68
3,7,31.93,26.64
3,8,30.88,26.40
3,9,31.36,26.28
3,10,31.78,25.90
3,11,31.16,25.99
3,12,32.51,26.59
3,13,30.59,26.30
3,14,32.68,26.39
3,15,30.50,26.33
3,16,30.82,26.69
3,17,30.52,26.13
3,18,30.68,25.81
3,19,29.87,25.66
3,20,30.44,25.69
3,21,27.94,26.16
3,22,30.53,26.62
3,23,26.71,27.67
3,24,29.90,27.49
3,25,27.37,27.53
3,26,28.63,26.97
